sourceGenusName	sourceSubgenusName	sourceSpecificEpithetName	Trypanosoma sp.	interactionTypeName	interactionTypeId		Host Species	Geographic Location	Geographic Location	referencePMID	referenceDoi	referenceCitation	Ref.
Trypanosoma	Megatrypanum	leonidasdeanei	T. leonidasdeanei	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Saccopterix bilineata	Saccopterix bilineata	Costa Rica	Costa Rica	5392759	10.1080/00034983.1969.11686623 	Zeledón R, Rosabal R. Trypanosoma leonidasdeanei sp. nov. in insectivorous bats of Costa Rica. Ann Trop Med Parasitol. 1969 Jun;63(2):221-8. doi: 10.1080/00034983.1969.11686623. PMID: 5392759.	[5,83]
Trypanosoma	Megatrypanum	lizae	T. lizae	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Hipposideros cyclops	Hipposideros cyclops	Gabon	Gabon	3405632	10.1017/s0031182000080082 	Gardner RA, Molyneux DH. Trypanosoma (Megatrypanum) incertum from Pipistrellus pipistrellus: development and transmission by cimicid bugs. Parasitology. 1988 Jun;96 ( Pt 3):433-47. doi: 10.1017/s0031182000080082. PMID: 3405632.	[32,84]
Trypanosoma	Megatrypanum	lizae	T. lizae	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Hipposideros cyclops	Hipposideros cyclops	Gabon	Gabon	539717	10.1051/parasite/1979542163	Miltgen F., Landau I. Trypanosoma (Megatrypanum) lizae n.sp. un trypanosome ayant des formes geantes chez les microchiropteres Hipposideros cyclops au Gabo. Ann. Parasitolo Gie Hum. Comp. 1979;54:163–169. doi: 10.1051/parasite/1979542163. 	[32,84]
Trypanosoma	Megatrypanum	magadermae	T. magadermae	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Lavia frons	Lavia frons P. kuhlii	Sudan	SudanEgypt	12557932		el-Rahman AR, Monib Mel-S, Hassan AA, Ghanam ME, Shataat MA, el-Damarany M. Studies on the megatrypanum trypanosomes of the Egyptian bat (Pipistrellum kuhli) from Sohag Governorate, Egypt. J Egypt Soc Parasitol. 2001 Apr;31(1):87-93. PMID: 12557932.	[24,85]
Trypanosoma	Megatrypanum	magadermae	T. magadermae	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Pipistrellus kuhlii	Lavia frons P. kuhlii	Sudan	SudanEgypt	12557932		el-Rahman AR, Monib Mel-S, Hassan AA, Ghanam ME, Shataat MA, el-Damarany M. Studies on the megatrypanum trypanosomes of the Egyptian bat (Pipistrellum kuhli) from Sohag Governorate, Egypt. J Egypt Soc Parasitol. 2001 Apr;31(1):87-93. PMID: 12557932.	[24,85]
Trypanosoma	Megatrypanum	magadermae	T. magadermae	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Lavia frons	Lavia frons P. kuhlii	Egypt	SudanEgypt	12557932		el-Rahman AR, Monib Mel-S, Hassan AA, Ghanam ME, Shataat MA, el-Damarany M. Studies on the megatrypanum trypanosomes of the Egyptian bat (Pipistrellum kuhli) from Sohag Governorate, Egypt. J Egypt Soc Parasitol. 2001 Apr;31(1):87-93. PMID: 12557932.	[24,85]
Trypanosoma	Megatrypanum	magadermae	T. magadermae	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Pipistrellus kuhlii	Lavia frons P. kuhlii	Egypt	SudanEgypt	12557932		el-Rahman AR, Monib Mel-S, Hassan AA, Ghanam ME, Shataat MA, el-Damarany M. Studies on the megatrypanum trypanosomes of the Egyptian bat (Pipistrellum kuhli) from Sohag Governorate, Egypt. J Egypt Soc Parasitol. 2001 Apr;31(1):87-93. PMID: 12557932.	[24,85]
Trypanosoma	Megatrypanum	magadermae	T. magadermae	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Lavia frons	Lavia frons P. kuhlii	Sudan	SudanEgypt			Wenyon, C. M. "Report of travelling pathologist and protozoologist." Third report of the Wellcome Research Laboratories at the Gordon Memorial College, Khartoum, A. Balfour (ed.). Ballaire, Tindall and Cox, and Department of Education, London, UK (1908): 121-168.	[24,85]
Trypanosoma	Megatrypanum	magadermae	T. magadermae	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Pipistrellus kuhlii	Lavia frons P. kuhlii	Sudan	SudanEgypt			Wenyon, C. M. "Report of travelling pathologist and protozoologist." Third report of the Wellcome Research Laboratories at the Gordon Memorial College, Khartoum, A. Balfour (ed.). Ballaire, Tindall and Cox, and Department of Education, London, UK (1908): 121-168.	[24,85]
Trypanosoma	Megatrypanum	magadermae	T. magadermae	hasHost	http://purl.obolibrary.org/obo/RO_0002454	Lavia frons	Lavia frons P. kuhlii	Egypt	SudanEgypt			Wenyon, C. M. "Report of travelling pathologist and protozoologist." Third report of the Wellcome Research Laboratories at the Gordon Memorial College, Khartoum, A. Balfour (ed.). Ballaire, Tindall and Cox, and Department of Education, London, UK (1908): 121-168.	[24,85]
